# Time(s) Range(km)  Vel.(km/s)
 178.848 1863.054342 -6.600403
 179.885 1855.814767 -6.596584
 181.008 1848.579677 -6.592710
 182.131 1841.348866 -6.588781
 183.168 1834.122132 -6.584797
 184.291 1826.900064 -6.580756
 185.414 1819.682197 -6.576658
 186.538 1812.469122 -6.572501
 187.574 1805.260375 -6.568286
 188.698 1798.056287 -6.564010
 189.821 1790.857451 -6.559674
 190.858 1783.662878 -6.555276
 191.981 1776.473165 -6.550815
 193.104 1769.288645 -6.546290
 194.141 1762.108860 -6.541701
 195.264 1754.934410 -6.537046
 196.387 1747.764839 -6.532325
 197.510 1740.600486 -6.527536
 198.547 1733.441687 -6.522679
 199.670 1726.288255 -6.517752
 200.794 1719.140005 -6.512754
 201.830 1711.997539 -6.507685
 202.954 1704.860414 -6.502542
 204.077 1697.729233 -6.497325
 205.114 1690.603555 -6.492034
 206.237 1683.483724 -6.486665
 207.360 1676.370347 -6.481220
 208.483 1669.262467 -6.475695
 209.520 1662.160691 -6.470091
 210.643 1655.065370 -6.464405
 211.766 1647.976072 -6.458636
 212.803 1640.893148 -6.452784
 213.926 1633.816952 -6.446846
 215.050 1626.747059 -6.440822
 216.086 1619.684082 -6.434709
 217.210 1612.627860 -6.428508
 218.333 1605.578233 -6.422215
 219.370 1598.535819 -6.415830
 220.493 1591.500204 -6.409351
 221.616 1584.471749 -6.402776
 222.739 1577.450818 -6.396105
 223.776 1570.437003 -6.389335
 224.899 1563.431185 -6.382465
 226.022 1556.432445 -6.375493
 227.059 1549.441412 -6.368417
 228.182 1542.458456 -6.361236
 229.306 1535.483180 -6.353948
 230.342 1528.515960 -6.346552
 231.466 1521.557171 -6.339044
 232.589 1514.606426 -6.331424
 233.712 1507.664103 -6.323690
 234.749 1500.730838 -6.315840
 235.872 1493.805742 -6.307870
 236.995 1486.889709 -6.299781
 238.032 1479.982365 -6.291569
 239.155 1473.084099 -6.283233
 240.278 1466.195300 -6.274770
 241.315 1459.315605 -6.266178
 242.438 1452.445660 -6.257455
 243.562 1445.585357 -6.248599
 244.685 1438.734594 -6.239608
 245.722 1431.894023 -6.230478
 246.845 1425.063294 -6.221207
 247.968 1418.242814 -6.211794
 249.005 1411.432992 -6.202236
 250.128 1404.633487 -6.192529
 251.251 1397.844715 -6.182672
 252.288 1391.067338 -6.172663
 253.411 1384.300531 -6.162496
 254.534 1377.545213 -6.152172
 255.658 1370.801063 -6.141686
 256.694 1364.068509 -6.131035
 257.818 1357.347977 -6.120217
 258.941 1350.639162 -6.109229
 259.978 1343.942742 -6.098067
 261.101 1337.258664 -6.086729
 262.224 1330.586880 -6.075211
 263.261 1323.927832 -6.063511
 264.384 1317.281967 -6.051624
 265.507 1310.649004 -6.039547
 266.630 1304.029638 -6.027278
 267.667 1297.423599 -6.014812
 268.790 1290.831347 -6.002146
 269.914 1284.253585 -5.989277
 270.950 1277.689574 -5.976199
